Year,Name,Score,Location,Rank
2022,Galgotias University,36.89,Gautam Budh Nagar Uttar Pradesh,147
2022,4Goka Raju Ranga Raju Institute of Engineering & Technology,36.79,Hyderabad Telangana,148
2022,Maharaja Sayajirao University of Baroda,36.78,Vadodara Gujarat,149
2022,Pondicherry Engineering College,36.77,Puducherry Pondicherry,150
2022,"4National Institute of Advanced Manufacturing Technology, Ranchi",36.77,Ranchi Jharkhand,150
2022,Hindustan Institute of Technology and Science (HITS),36.71,Chennai Tamil Nadu,152
2022,"Amity University, Gwalior",36.49,Gwalior Madhya Pradesh,153
2022,4R.M.K. Engineering College,36.46,Thiruvallur Tamil Nadu,154
2022,Mahindra University,36.46,Hyderabad Telangana,154
2022,Saveetha Institute of Medical and Technical Sciences,36.44,Chennai Tamil Nadu,156
2022,7Sri Sairam Engineering College,36.41,Kancheepuram Tamil Nadu,157
2022,JSS Science and Technology University   ,36.36,Mysuru Karnataka,158
2022,Vels Institute of Science Technology & Advanced Studies (VISTAS) -Chennai,36.35,Chennai Tamil Nadu,159
2022,5Government College of Technology,36.22,Coimbatore Tamil Nadu,160
2022,"3Silicon Institute of Technology (SIT), Bhubaneswar",36.19,Bhubaneswar Odisha,161
2022,0Vardhaman College of Engineering,36.15,Rangareddy Telangana,162
2022,"7G. H. Raisoni College of Engineering, Nagpur",36.12,Nagpur Maharashtra,163
2022,Sharda University,36.10,Greater Noida Uttar Pradesh,164
2022,9Sree Vidyanikethan Engineering College,36.08,Tirupati Andhra Pradesh,165
2022,2Chaitanya Bharathi Institute of Technology,35.84,Hyderabad Telangana,166
2022,3Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,35.62,Mumbai Maharashtra,167
2022,Rabindranath Tagore University,35.62,Raisen Madhya Pradesh,167
2022,9National Engineering College,35.58,Kovilpatti Tamil Nadu,169
2022,7CVR College of Engineering,35.51,Ibrahimpatan Telangana,170
2022,National Institute of Technology Arunachal Pradesh,35.49,Itanagar Arunachal Pradesh,171
2022,4Army Institute of Technology,35.38,Pune Maharashtra,172
2022,National Institute of Technology Sikkim,35.33,South Sikkim Sikkim,173
2022,8Sona College of Technology,35.29,Salem Tamil Nadu,174
2022,NMAM Institute of Technology,35.27,Udupi Karnataka,175
2022,6Chennai Institute of Technology,35.27,Chennai Tamil Nadu,175
2022,Indira Gandhi Delhi Technical University for Women,35.23,Delhi Delhi,177
2022,Sant Longowal Institute of Engineering & Technology,35.20,Longowal Punjab,178
2022,DIT University,35.14,Dehradun Uttarakhand,179
2022,C M R Institute of Technology,35.11,Bengaluru Karnataka,180
2022,0Easwari Engineering College,35.07,Chennai Tamil Nadu,181
2022,Rajiv Gandhi Institute of Petroleum Technology,34.99,Amethi Uttar Pradesh,182
2022,Nitte Meenakshi Institute of Technology,34.97,Bengaluru Karnataka,183
2022,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",34.93,Chennai Tamil Nadu,184
2022,4Yeshwantrao Chavan College of Engineering,34.88,Nagpur Maharashtra,185
2022,G. L. A. University,34.74,Mathura Uttar Pradesh,186
2022,1KIET Group of Institutions,34.73,Ghaziabad Uttar Pradesh,187
2022,8GMR Institute of Technology,34.71,Rajam Andhra Pradesh,188
2022,Christ University,34.64,Bengaluru Karnataka,189
2022,Institute of Infrastructure Technology Research and Management (IITRAM),34.41,Ahmedabad Gujarat,190
2022,Maharishi Markandeshwar,34.37,Ambala Haryana,191
2022,lgotias College of Engineering & Technology,34.29,Greater Noida Uttar Pradesh,192
2022,7Dr. D. Y. Patil Institute of Technology,34.10,Pune Maharashtra,193
2022,National Institute of Technology Delhi,33.96,Delhi Delhi,194
2022,9G. L. Bajaj Institute of Technology and Management,33.95,Greater Noida Uttar Pradesh,195
2022,KLE Technological University,33.90,Dharwad Karnataka,196
2022,7Shri Vile Parle Kelavani Mandal`s Dwarkadas J. Sanghvi College of Engineering,33.88,Mumbai Suburban Maharashtra,197
2022,4Sri Venkateswara College of Engineering and Technology,33.77,Chittoor Andhra Pradesh,198
2022,BMS Institute of Technology & Management,33.76,Bengaluru Karnataka,199
2022,2Vidya Jyothi Institute of Technology,33.70,Hyderabad Telangana,200
2023,Indian Institute of Technology Madras,89.79,Chennai Tamil Nadu,1
2023,Indian Institute of Technology Delhi,87.09,New Delhi Delhi,2
2023,Indian Institute of Technology Bombay,80.74,Mumbai Maharashtra,3
2023,Indian Institute of Technology Kanpur,80.65,Kanpur Uttar Pradesh,4
2023,Indian Institute of Technology Roorkee,75.64,Roorkee Uttarakhand,5
2023,Indian Institute of Technology Kharagpur,73.76,Kharagpur West Bengal,6
2023,Indian Institute of Technology Guwahati,70.32,Guwahati Assam,7
2023,Indian Institute of Technology Hyderabad,70.28,Hyderabad Telangana,8
2023,National Institute of Technology Tiruchirappalli,69.71,Tiruchirappalli Tamil Nadu,9
2023,Jadavpur University,67.04,Kolkata West Bengal,10
2023,Vellore Institute of Technology,66.59,Vellore Tamil Nadu,11
2023,"National Institute of Technology Karnataka, Surathkal ",65.26,Surathkal Karnataka,12
2023,Anna University,65.06,Chennai Tamil Nadu,13
2023,Indian Institute of Technology Indore,63.93,Indore Madhya Pradesh,14
2023,Indian Institute of Technology (Banaras Hindu University) Varanasi,63.74,Varanasi Uttar Pradesh,15
2023,National Institute of Technology Rourkela,62.79,Rourkela Odisha,16
2023,Indian Institute of Technology (Indian School of Mines),62.37,Dhanbad Jharkhand,17
2023,Indian Institute of Technology Gandhinagar,61.66,Gandhinagar Gujarat,18
2023,Amrita Vishwa Vidyapeetham,61.54,Coimbatore Tamil Nadu,19
2023,Thapar Institute of Engineering and Technology (Deemed-to-be-university),61.24,Patiala Punjab,20
2023,National Institute of Technology Warangal,61.13,Warangal Telangana,21
2023,Indian Institute of Technology Ropar,60.51,Rupnagar Punjab,22
2023,National Institute of Technology Calicut,60.28,Kozhikode Kerala,23
2023,Institute of Chemical Technology,59.70,Mumbai Maharashtra,24
2023,Birla Institute of Technology  & Science -Pilani,59.52,Pilani Rajasthan,25
2023,"Jamia Millia Islamia,New Delhi",59.30,New Delhi Delhi,26
2023,Siksha `O` Anusandhan,58.92,Bhubaneswar Odisha,27
2023,S.R.M. Institute of Science and Technology,58.56,Chennai Tamil Nadu,28
2023,Delhi Technological University,58.34,New Delhi Delhi,29
2023,Indian Institute of Technology Jodhpur,58.03,Jodhpur Rajasthan,30
2023,Amity University,57.30,Gautam Budh Nagar Uttar Pradesh,31
2023,Aligarh Muslim University,57.26,Aligarh Uttar Pradesh,32
2023,Indian Institute of Technology Mandi,56.49,Mandi Himachal Pradesh,33
2023,Shanmugha Arts Science Technology & Research Academy,56.21,Thanjavur Tamil Nadu,34
2023,"Indian Institute of Engineering Science and Technology, Shibpur",56.12,Howrah West Bengal,35
2023,Kalasalingam Academy of Research and Education,55.69,Srivilliputtur Tamil Nadu,36
2023,Malaviya National Institute of Technology,55.60,Jaipur Rajasthan,37
2023,Chandigarh University,55.20,Mohali Punjab,38
2023,Kalinga Institute of Industrial Technology,55.14,Bhubaneswar Odisha,39
2023,National Institute of Technology Silchar,55.07,Silchar Assam,40
2023,Indian Institute of Technology Patna,55.03,Patna Bihar,41
2023,"Visvesvaraya National Institute of Technology, Nagpur",55.03,Nagpur Maharashtra,41
2023,National Institute of Technology Durgapur,53.91,Durgapur West Bengal,43
2023,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),53.69,Vaddeswaram Andhra Pradesh,44
2023,4Sri Sivasubramaniya Nadar College of Engineering,52.88,Kalavakkam Tamil Nadu,45
2023,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",52.85,Jalandhar Punjab,46
2023,Indian Institute of Technology Bhubaneswar,52.42,Bhubaneswar Odisha,47
2023,Indian Institute of Space Science and Technology,52.04,Thiruvananthapuram Kerala,48
2023,Motilal Nehru National Institute of Technology,51.89,Prayagraj Uttar Pradesh,49
2023,Lovely Professional University,51.47,Phagwara Punjab,50
2023,National Institute of Technology Delhi,51.41,Delhi Delhi,51
2023,Visvesvaraya Technological University,51.38,Belgaum Karnataka,52
2023,Birla Institute of Technology,50.68,Ranchi Jharkhand,53
2023,UPES,50.63,Dehradun Uttarakhand,54
2023,International Institute of Information Technology Hyderabad,50.33,Hyderabad Telangana,55
2023,National Institute of Technology Patna,50.16,Patna Bihar,56
2023,Defence Institute of Advanced Technology,50.14,Pune Maharashtra,57
2023,National Institute of Technology Kurukshetra,49.89,Kurukshetra Haryana,58
2023,"Indian Institute of Technology, Tirupati",49.80,Yerpedu Andhra Pradesh,59
2023,Netaji Subhas University of Technology (NSUT),49.68,South West Delhi,60
2023,Manipal Institute of Technology,49.62,Manipal Karnataka,61
2023,Graphic Era University,49.59,Dehradun Uttarakhand,62
2023,3PSG College of Technology,49.43,Coimbatore Tamil Nadu,63
2023,Saveetha Institute of Medical and Technical Sciences,49.30,Chennai Tamil Nadu,64
2023,Sardar Vallabhbhai National Institute of Technology,49.00,Surat Gujarat,65
2023,Sathyabama Institute of Science and Technology,48.87,Chennai Tamil Nadu,66
2023,Indian Institute of Technology Jammu,48.15,Jammu Jammu and Kashmir,67
2023,Banasthali Vidyapith,47.93,Banasthali Rajasthan,68
2023,Indian Institute of Technology Palakkad,47.86,Palakkad Kerala,69
2023,"National Institute of Technology, Raipur",47.69,Raipur Chhattisgarh,70
2023,University of Hyderabad,47.51,Hyderabad Telangana,71
2023,National Institute of Technology Meghalaya,47.27,Shillong Meghalaya,72
2023,"3College of Engineering, Pune",46.89,Pune Maharashtra,73
2023,International Institute of Information Technology Bangalore,46.58,Bengaluru Karnataka,74
2023,Indraprastha Institute of Information Technology Delhi,46.57,New Delhi Delhi,75
2023,Manipal University Jaipur,46.39,Jaipur Rajasthan,76
2023,5Sri Krishna College of Engineering and Technology,46.03,Coimbatore Tamil Nadu,77
2023,M. S. Ramaiah Institute of Technology,45.99,Bengaluru Karnataka,78
2023,Rajiv Gandhi Institute of Petroleum Technology,45.97,Amethi Uttar Pradesh,79
2023,Maulana Azad National Institute of Technology,45.90,Bhopal Madhya Pradesh,80
2023,Indian Institute of Technology Bhilai,45.86,Raipur Chhattisgarh,81
2023,National Institute of Technology Srinagar,45.70,Srinagar Jammu and Kashmir,82
2023,Jawaharlal Nehru Technological University,44.75,Hyderabad Telangana,83
2023,Guru Gobind Singh Indraprastha University,44.31,New Delhi Delhi,84
2023,"Vignan's Foundation for Science, Technology and Research",43.74,Guntur Andhra Pradesh,85
2023,6Rajalakshmi Engineering College,43.46,Chennai Tamil Nadu,86
2023,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,43.43,Chennai Tamil Nadu,87
2023,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,43.41,Gwalior Madhya Pradesh,88
2023,Indian Institute of Information Technology Allahabad,43.29,Uttar Pradesh,89
2023,National Institute of Technology Goa,43.28,Ponda Goa,90
2023,National Institute of Technology Agartala,43.24,Agratala Tripura,91
2023,Chitkara  University,42.48,Rajpura Punjab,92
2023,Indian Institute Of Technology Dharwad,42.36,Dharwad Karnataka,93
2023,4AU College of Engineering (A),42.32,Visakhapatnam Andhra Pradesh,94
2023,National Institute of Technology Manipur,42.28,Imphal Manipur,95
2023,R.V. College of Engineering,42.22,Bengaluru Karnataka,96
2023,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM)",42.14,Jabalpur Madhya Pradesh,97
2023,4SR University,42.09,Warangal Telangana,98
2023,"Amity University Haryana, Gurgaon",41.99,Haryana Haryana,99
2023,"5C.V. Raman Global University, Odisha",41.93,Bhubaneswar Odisha,100
2024,Indian Institute of Technology Madras,89.46,Chennai Tamil Nadu,1
2024,Indian Institute of Technology Delhi,86.66,New Delhi Delhi,2
2024,Indian Institute of Technology Bombay,83.09,Mumbai Maharashtra,3
2024,Indian Institute of Technology Kanpur,82.79,Kanpur Uttar Pradesh,4
2024,Indian Institute of Technology Kharagpur,76.88,Kharagpur West Bengal,5
2024,Indian Institute of Technology Roorkee,76.00,Roorkee Uttarakhand,6
2024,Indian Institute of Technology Guwahati,71.86,Guwahati Assam,7
2024,Indian Institute of Technology Hyderabad,71.55,Hyderabad Telangana,8
2024,National Institute of Technology Tiruchirappalli,66.88,Tiruchirappalli Tamil Nadu,9
2024,Indian Institute of Technology (Banaras Hindu University) Varanasi,66.69,Varanasi Uttar Pradesh,10
2024,Vellore Institute of Technology,66.22,Vellore Tamil Nadu,11
2024,Jadavpur University,65.62,Kolkata West Bengal,12
2024,S.R.M. Institute of Science and Technology,65.41,Chennai Tamil Nadu,13
2024,Anna University,65.34,Chennai Tamil Nadu,14
2024,Indian Institute of Technology (Indian School of Mines) Dhanbad,64.83,Dhanbad Jharkhand,15
2024,Indian Institute of Technology Indore,64.72,Indore Madhya Pradesh,16
2024,"National Institute of Technology Karnataka, Surathkal ",64.27,Surathkal Karnataka,17
2024,Indian Institute of Technology Gandhinagar,63.42,Gandhinagar Gujarat,18
2024,National Institute of Technology Rourkela,63.38,Rourkela Odisha,19
2024,"Birla Institute of Technology and Science, Pilani",63.04,Pilani Rajasthan,20
2024,National Institute of Technology Warangal,61.72,Warangal Telangana,21
2024,Indian Institute of Technology Ropar,61.56,Rupnagar Punjab,22
2024,Amrita Vishwa Vidyapeetham,61.29,Coimbatore Tamil Nadu,23
2024,Jamia Millia Islamia,61.28,New Delhi Delhi,24
2024,National Institute of Technology Calicut,61.19,Kozhikode Kerala,25
2024,Siksha `O` Anusandhan,60.97,Bhubaneswar Odisha,26
2024,Delhi Technological University,60.78,New Delhi Delhi,27
2024,Indian Institute of Technology Jodhpur,60.61,Jodhpur Rajasthan,28
2024,Thapar Institute of Engineering and Technology (Deemed-to-be-university),60.35,Patiala Punjab,29
2024,Amity University,59.91,Gautam Budh Nagar Uttar Pradesh,30
2024,Indian Institute of Technology Mandi,59.86,Mandi Himachal Pradesh,31
2024,Chandigarh University,59.82,Mohali Punjab,32
2024,Aligarh Muslim University,59.16,Aligarh Uttar Pradesh,33
2024,Indian Institute of Technology Patna,58.40,Patna Bihar,34
2024,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),58.24,Vaddeswaram Andhra Pradesh,35
2024,Kalasalingam Academy of Research and Education,58.20,Srivilliputhur Tamil Nadu,36
2024,Kalinga Institute of Industrial Technology,58.00,Bhubaneswar Odisha,37
2024,Shanmugha Arts Science Technology and Research Academy,57.97,Thanjavur Tamil Nadu,38
2024,Visvesvaraya National Institute of Technology Nagpur,57.89,Nagpur Maharashtra,39
2024,National Institute of Technology Silchar,57.60,Silchar Assam,40
2024,Institute of Chemical Technology,56.93,Mumbai Maharashtra,41
2024,UPES,56.65,Dehradun Uttarakhand,42
2024,Malaviya National Institute of Technology,56.35,Jaipur Rajasthan,43
2024,National Institute of Technology Durgapur,56.26,Durgapur West Bengal,44
2024,National Institute of Technology Delhi,55.67,Delhi Delhi,45
2024,4Sri Sivasubramaniya Nadar College of Engineering,55.01,Kalavakkam Tamil Nadu,46
2024,International Institute of Information Technology Hyderabad,54.29,Hyderabad Telangana,47
2024,Birla Institute of Technology,54.18,Ranchi Jharkhand,48
2024,"Indian Institute of Engineering Science and Technology, Shibpur",54.17,Howrah West Bengal,49
2024,Lovely Professional University,54.16,Phagwara Punjab,50
2024,Indian Institute of Space Science and Technology,53.13,Thiruvananthapuram Kerala,51
2024,Graphic Era University,52.96,Dehradun Uttarakhand,52
2024,Saveetha Institute of Medical and Technical Sciences,52.85,Chennai Tamil Nadu,53
2024,Indian Institute of Technology Bhubaneswar,52.54,Bhubaneswar Odisha,54
2024,National Institute of Technology Patna,52.28,Patna Bihar,55
2024,Manipal Institute of Technology,52.12,Manipal Karnataka,56
2024,Netaji Subhas University of Technology (NSUT),51.52,Delhi Delhi,57
2024,Dr. B R Ambedkar National Institute of Technology Jalandhar,51.11,Jalandhar Punjab,58
2024,Sardar Vallabhbhai National Institute of Technology,51.04,S U R A T Gujarat,59
2024,Motilal Nehru National Institute of Technology,50.65,Prayagraj Uttar Pradesh,60
2024,Indian Institute of Technology Tirupati,50.58,Y E R P E D U Andhra Pradesh,61
2024,Indian Institute of Technology Jammu,50.53,Jammu Jammu and Kashmir,62
2024,Defence Institute of Advanced Technology,50.37,Pune Maharashtra,63
2024,Indian Institute of Technology Palakkad,50.24,Palakkad Kerala,64
2024,"Manipal University, Jaipur",50.24,Jaipur Rajasthan,64
2024,Sathyabama Institute of Science and Technology,50.05,Chennai Tamil Nadu,66
2024,3PSG College of Technology,49.92,Coimbatore Tamil Nadu,67
2024,National Institute of Technology Meghalaya,49.82,Shillong Meghalaya,68
2024,Visvesvaraya Technological University,49.80,Belgaum Karnataka,69
2024,University of Hyderabad,49.30,Hyderabad Telangana,70
2024,National Institute of Technology Raipur,48.88,Raipur Chhattisgarh,71
2024,Maulana Azad National Institute of Technology,48.86,Bhopal Madhya Pradesh,72
2024,Indian Institute of Technology Bhilai,48.80,Raipur Chhattisgarh,73
2024,International Institute of Information Technology Bangalore,48.61,Bengaluru Karnataka,74
2024,M. S. Ramaiah Institute of Technology,48.33,Bengaluru Karnataka,75
2024,Sant Longowal Institute of Engineering and Technology,48.22,Longowal Punjab,76
2024,3COEP Technological University,47.89,Pune Maharashtra,77
2024,Banasthali Vidyapith,47.86,Banasthali Rajasthan,78
2024,National Institute of Technology Srinagar,47.76,Srinagar Jammu and Kashmir,79
2024,Rajiv Gandhi Institute of Petroleum Technology,47.43,Amethi Uttar Pradesh,80
2024,National Institute of Technology Kurukshetra,46.79,Kurukshetra Haryana,81
2024,National Institute of Technology Agartala,46.69,Agratala Tripura,82
2024,5Sri Krishna College of Engineering and Technology,46.53,Coimbatore Tamil Nadu,83
2024,Madan Mohan Malaviya University of Technology,46.39,Gorakhpur Uttar Pradesh,84
2024,Indraprastha Institute of Information Technology,46.32,New Delhi Delhi,85
2024,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,46.23,Chennai Tamil Nadu,86
2024,Indian Institute of Information Technology Allahabad,45.84,Prayagraj Uttar Pradesh,87
2024,Jawaharlal Nehru Technological University,45.78,Hyderabad Telangana,88
2024,Guru Gobind Singh Indraprastha University,45.64,New Delhi Delhi,89
2024,4AU College of Engineering (A),45.60,Visakhapatnam Andhra Pradesh,90
2024,"Vignan's Foundation for Science, Technology and Research",45.43,Guntur Andhra Pradesh,91
2024,Shoolini University of Biotechnology and Management Sciences,45.40,Solan Himachal Pradesh,92
2024,Christ University,45.02,Bengaluru Karnataka,93
2024,Chitkara University,44.82,Rajpura Punjab,94
2024,"Jain University, Bangalore",44.61,Bengaluru Karnataka,95
2024,"5C.V. Raman Global University, Odisha",44.55,Bhubaneswar Odisha,96
2024,National Institute of Technology Puducherry,44.38,Karaikal Pondicherry,97
2024,4SR University,44.29,Warangal Telangana,98
2024,R.V. College of Engineering,44.26,Bengaluru Karnataka,99
2024,Siddaganga Institute of Technology,43.95,Tumkur Karnataka,100
2025,Indian Institute of Technology Madras,88.72,Chennai Tamil Nadu,1
2025,Indian Institute of Technology Delhi,85.74,New Delhi Delhi,2
2025,Indian Institute of Technology Bombay,83.65,Mumbai Maharashtra,3
2025,Indian Institute of Technology Kanpur,81.82,Kanpur Uttar Pradesh,4
2025,Indian Institute of Technology Kharagpur,78.69,Kharagpur West Bengal,5
2025,Indian Institute of Technology Roorkee,75.44,Roorkee Uttarakhand,6
2025,Indian Institute of Technology Hyderabad,72.31,Hyderabad Telangana,7
2025,Indian Institute of Technology Guwahati,72.24,Guwahati Assam,8
2025,National Institute of Technology Tiruchirappalli,68.14,Tiruchirappalli Tamil Nadu,9
2025,Indian Institute of Technology (Banaras Hindu University) Varanasi,67.24,Varanasi Uttar Pradesh,10
2025,Birla Institute of Technology  & Science -Pilani,67.02,Pilani Rajasthan,11
2025,Indian Institute of Technology Indore,66.65,Indore Madhya Pradesh,12
2025,National Institute of Technology Rourkela,66.62,Rourkela Odisha,13
2025,S.R.M. Institute of Science and Technology,65.83,Chennai Tamil Nadu,14
2025,Indian Institute of Technology (Indian School of Mines),65.37,Dhanbad Jharkhand,15
2025,Vellore Institute of Technology,65.25,Vellore Tamil Nadu,16
2025,"National Institute of Technology Karnataka, Surathkal ",64.59,Surathkal Karnataka,17
2025,Jadavpur University,64.54,Kolkata West Bengal,18
2025,Indian Institute of Technology Patna,64.52,Patna Bihar,19
2025,Anna University,63.51,Chennai Tamil Nadu,20
2025,National Institute of Technology Calicut,63.05,Kozhikode Kerala,21
2025,Siksha `O` Anusandhan,62.58,Bhubaneswar Odisha,22
2025,Amrita Vishwa Vidyapeetham,62.46,Coimbatore Tamil Nadu,23
2025,Jamia Millia Islamia,62.42,New Delhi Delhi,24
2025,Indian Institute of Technology Gandhinagar,62.31,Gandhinagar Gujarat,25
2025,Indian Institute of Technology Mandi,62.08,Mandi Himachal Pradesh,26
2025,Indian Institute of Technology Jodhpur,61.31,Jodhpur Rajasthan,27
2025,National Institute of Technology Warangal,61.05,Warangal Telangana,28
2025,Thapar Institute of Engineering and Technology (Deemed-to-be-university),60.97,Patiala Punjab,29
2025,Delhi Technological University,60.85,New Delhi Delhi,30
2025,Chandigarh University,60.46,Mohali Punjab,31
2025,Indian Institute of Technology Ropar,59.66,Rupnagar Punjab,32
2025,Kalasalingam Academy of Research and Education,59.03,Krishnan Koil Tamil Nadu,33
2025,Aligarh Muslim University,59.01,Aligarh Uttar Pradesh,34
2025,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),58.95,Vaddeswaram Andhra Pradesh,35
2025,Kalinga Institute of Industrial Technology,58.79,Bhubaneswar Odisha,36
2025,Amity University,58.53,Gautam Budh Nagar Uttar Pradesh,37
2025,International Institute of Information Technology Hyderabad,58.45,Hyderabad Telangana,38
2025,Indian Institute of Technology Bhubaneswar,58.22,Bhubaneswar Odisha,39
2025,Shanmugha Arts Science Technology & Research Academy,58.02,Thanjavur Tamil Nadu,40
2025,Institute of Chemical Technology,57.96,Mumbai Maharashtra,41
2025,Malaviya National Institute of Technology,57.45,Jaipur Rajasthan,42
2025,UPES,56.99,Dehradun Uttarakhand,43
2025,"Visvesvaraya National Institute of Technology, Nagpur",56.58,Nagpur Maharashtra,44
2025,Saveetha Institute of Medical and Technical Sciences,56.55,Chennai Tamil Nadu,45
2025,Symbiosis International,56.22,Pune Maharashtra,46
2025,4Sri Sivasubramaniya Nadar College of Engineering,56.08,Kalavakkam Tamil Nadu,47
2025,Lovely Professional University,55.99,Phagwara Punjab,48
2025,National Institute of Technology Durgapur,55.94,Durgapur West Bengal,49
2025,National Institute of Technology Silchar,55.91,Silchar Assam,50
2025,Birla Institute of Technology,55.28,Ranchi Jharkhand,51
2025,Graphic Era University,55.26,Dehradun Uttarakhand,52
2025,National Institute of Technology Patna,53.89,Patna Bihar,53
2025,"Indian Institute of Engineering Science and Technology, Shibpur",53.63,Howrah West Bengal,54
2025,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",53.38,Jalandhar Punjab,55
2025,Indian Institute of Technology Jammu,53.08,Jammu Jammu and Kashmir,56
2025,"Indian Institute of Technology, Tirupati",52.73,Tirupati Andhra Pradesh,57
2025,Manipal University Jaipur,52.69,Jaipur Rajasthan,58
2025,Manipal Institute of Technology,52.55,Manipal Karnataka,59
2025,Madan Mohan Malaviya University of Technology,52.45,Gorakhpur Uttar Pradesh,60
2025,Indian Institute of Space Science and Technology,52.44,Thiruvananthapuram Kerala,61
2025,Motilal Nehru National Institute of Technology,52.15,Prayagraj Uttar Pradesh,62
2025,Indraprastha Institute of Information Technology,51.33,New Delhi Delhi,63
2025,Indian Institute of Technology Palakkad,51.20,Palakkad Kerala,64
2025,National Institute of Technology Delhi,50.79,Delhi Delhi,65
2025,Sardar Vallabhbhai National Institute of Technology,50.77,S U R A T Gujarat,66
2025,Sathyabama Institute of Science and Technology,50.64,Chennai Tamil Nadu,67
2025,3PSG College of Technology,50.64,Coimbatore Tamil Nadu,67
2025,International Institute of Information Technology Bangalore,50.46,Bengaluru Karnataka,69
2025,Netaji Subhas University of Technology (NSUT),50.43,Delhi Delhi,70
2025,Banasthali Vidyapith,50.38,Banasthali Rajasthan,71
2025,Indian Institute of Technology Bhilai,50.37,Durg Chhattisgarh,72
2025,National Institute of Technology Srinagar,50.23,Srinagar Jammu and Kashmir,73
2025,University of Hyderabad,49.36,Hyderabad Telangana,74
2025,M. S. Ramaiah Institute of Technology,49.26,Bengaluru Karnataka,75
2025, Christ University,49.03,Bengaluru Karnataka,76
2025,Indian Institute of Technology Dharwad,48.61,Dharwad Karnataka,77
2025,Rajiv Gandhi Institute of Petroleum Technology,48.52,Amethi Uttar Pradesh,78
2025,Sant Longowal Institute of Engineering & Technology,48.42,Longowal Punjab,79
2025,"Vignan's Foundation for Science, Technology and Research",48.27,Guntur Andhra Pradesh,80
2025,Maulana Azad National Institute of Technology,48.26,Bhopal Madhya Pradesh,81
2025,"National Institute of Technology, Jamshedpur",48.25,Jamshedpur Jharkhand,82
2025,National Institute of Technology Meghalaya,48.21,Shillong Meghalaya,83
2025,"Jain university,Bangalore",48.01,Bengaluru Karnataka,84
2025,National Institute of Technology Kurukshetra,47.98,Kurukshetra Haryana,85
2025,"National Institute of Technology, Raipur",47.59,Raipur Chhattisgarh,86
2025,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,47.43,Chennai Tamil Nadu,87
2025,4AU College of Engineering (A),47.37,Visakhapatnam Andhra Pradesh,88
2025,Chitkara  University,47.34,Rajpura Punjab,89
2025,COEP Technological University,47.31,Pune Maharashtra,90
2025,4SR University,47.16,Warangal Telangana,91
2025,Defence Institute of Advanced Technology,46.98,Pune Maharashtra,92
2025,Panjab University,46.90,Chandigarh Chandigarh,93
2025,Jawaharlal Nehru Technological University,46.74,Hyderabad Telangana,94
2025,"5C.V. Raman Global University, Odisha",46.62,Bhubaneswar Odisha,95
2025,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,46.25,Gwalior Madhya Pradesh,96
2025,National Institute of Technology Hamirpur,46.10,Hamirpur Himachal Pradesh,97
2025,Pandit Deendayal Energy University,45.97,Gandhinagar Gujarat,98
2025,National Institute of Technology Puducherry,45.83,Karaikal Pondicherry,99
2025,5Sri Krishna College of Engineering and Technology,45.55,Coimbatore Tamil Nadu,100
